"idx","wojewodztwo"
"1063","mazowieckie"
"1064","mazowieckie"
"1065","mazowieckie"
"1066","mazowieckie"
"1067","łódzkie"
"1068","łódzkie"
"1069","łódzkie"
"1070","łódzkie"
"1071","łódzkie"
"1072","lubelskie"
"1073","lubelskie"
"1074","lubelskie"
"1075","lubelskie"
"1076","lubelskie"
"1077","lubelskie"
"1078","lubelskie"
"1079","lubelskie"
"1080","mazowieckie"
"1081","mazowieckie"
"1082","łódzkie"
"1083","łódzkie"
"1084","łódzkie"
"1085","łódzkie"
"1086","lubelskie"
"1087","lubelskie"
"1088","lubelskie"
"1089","lubelskie"
"1090","lubelskie"
"1091","lubelskie"
"1092","mazowieckie"
"1093","podkarpackie"
"1094","łódzkie"
"1095","małopolskie"
"1096","małopolskie"
"1097","małopolskie"
"1098","lubelskie"
"1099","lubelskie"
"1100","lubelskie"
"1101","lubelskie"
"1102","lubelskie"
"1103","zachodniopomorskie"
"1104","łódzkie"
"1105","łódzkie"
"1106","łódzkie"
"1107","łódzkie"
"1108","łódzkie"
"1109","łódzkie"
"1110","lubelskie"
"1111","lubelskie"
"1112","lubelskie"
"1113","lubelskie"
"1114","lubelskie"
"1115","lubelskie"
"1116","lubelskie"
"1117","lubelskie"
"1118","lubelskie"
"1119","łódzkie"
"1120","łódzkie"
"1121","łódzkie"
"1122","łódzkie"
"1123","łódzkie"
"1124","łódzkie"
"1125","łódzkie"
"1126","lubelskie"
"1127","lubelskie"
"1128","lubelskie"
"1129","lubelskie"
"1130","lubelskie"
"1131","lubelskie"
"1132","lubelskie"
"1133","lubelskie"
"1134","łódzkie"
"1135","łódzkie"
"1136","łódzkie"
"1137","małopolskie"
"1138","małopolskie"
"1139","małopolskie"
"1140","lubelskie"
"1141","lubelskie"
"1142","lubelskie"
"1143","lubelskie"
"1144","lubelskie"
"1145","łódzkie"
"1146","łódzkie"
"1147","łódzkie"
"1148","łódzkie"
"1149","łódzkie"
"1150","łódzkie"
"1151","łódzkie"
"1152","łódzkie"
"1153","lubelskie"
"1154","lubelskie"
"1155","lubelskie"
"1156","lubelskie"
"1157","lubelskie"
"1158","łódzkie"
"1159","łódzkie"
"1160","łódzkie"
"1161","łódzkie"
"1162","łódzkie"
"1163","łódzkie"
"1164","lubelskie"
"1165","lubelskie"
"1166","lubelskie"
"1167","lubelskie"
"1168","lubelskie"
"1169","lubelskie"
"1170","lubelskie"
"1171","łódzkie"
"1172","łódzkie"
"1173","łódzkie"
"1174","łódzkie"
"1175","łódzkie"
"1176","łódzkie"
"1177","łódzkie"
"1178","lubelskie"
"1179","lubelskie"
"1180","lubelskie"
"1181","lubelskie"
"1182","lubelskie"
"1183","lubelskie"
"1184","lubelskie"
"1185","lubelskie"
"1186","łódzkie"
"1187","łódzkie"
"1188","łódzkie"
"1189","łódzkie"
